articolo_id;frase;entities;grave;latitudine;longitudine;pos
18;Incidenti alle 7.30 e alle 8.20 in via Montebello e in viale Piacenza Due ciclisti sono rimasti feriti nella mattinata di martedì 20 dicembre in meno di un'ora.;via Montebello, viale Piacenza;1;44.787221;10.3377324;Via Montebello, Cittadella, Parma, Emilia-Romagna, 43123, Italia
19;Per cause in corso di accertamento, poco dopo le ore 10, un'auto guidata da una donna è finita fuori strada, mentre stava percorrendo via Vecchia di Sala.;via Vecchia di Sala;1;44.6726788;10.3533092;Via Vecchia di Sala, Stafei, Mamiano, Traversetolo, Parma, Emilia-Romagna, 43029, Italia
20;L'incidente è avvenuto poco prima delle ore 10: la strada è stata chiusa per consentire le operazioni di soccorso e i rilievi Grave incidente stradale nella mattinata di lunedì 19 dicembre in strada Baganzola a Parma, tra viale delle Esposizioni e strada Parma Rotta.;strada Baganzola, strada Parma, viale delle Esposizioni, strada Parma Rotta;1;44.8330473;10.3089671;Strada Baganzola, Golese, Parma, Emilia-Romagna, 43100, Italia
22;L'incidente è avvenuto nella zona di via Europa: in quel momento stava piovendo e l'asfalto era bagnato Paura nella serata di giovedì 15 dicembre in via Bettoli a Parma, nella zona di via Europa.;via Europa, via Bettoli;1;44.8081286;10.3259994;Via Europa, Parma Centro, Parma, Emilia-Romagna, 43121, Italia
23;L'incidente è avvenuto all'altezza del chilometro 92 Nord Un grave incidente stradale, che ha coinvolto due auto, si è verificato nella notte tra lunedì 12 e martedì 13 dicembre lungo l'autostrada A1, all'altezza del chilometro 92 in direzione Nord.;l'autostrada A1;1;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
24;L'incidente è avvenuto poco prima delle ore 12 Due auto si sono scontrate nella tarda mattinata di martedì 13 dicembre in via Calabria a Parma, nel quartiere San Leonardo.;via Calabria, San Leonardo;0;44.80629;10.3403444;Via Calabria, Parma Centro, Parma, Emilia-Romagna, 43121, Italia
25;L'incidente è avvenuto poco dopo le ore 7 Grave incidente stradale nella mattinata di lunedì 12 dicembre a Rubbiano, nel comune di Solignano.;Rubbiano, Solignano;1;44.6801893;10.0780096;Rubbiano, Solignano, Parma, Emilia-Romagna, 43045, Italia
26;L'incidente è avvenuto all'una e mezza della notte tra l'11 e il 12 dicembre Paura nella notte a Traversetolo per il conducente di un'auto che, dopo aver investito alcuni cinghiali, che stava attraversando la strada, ha sterzato perdendo il controllo del veicolo, che è finito fuori strada.;Traversetolo;1;44.6392123;10.3817954;Traversetolo, Parma, Emilia-Romagna, 43029, Italia
27;L'incidente si è verificato stamattina Paura a Traversetolo stamattina per uno scontro frontale tra due auto, all'altezza del supermercato Famila.;Traversetolo, Famila;0;44.6392123;10.3817954;Traversetolo, Parma, Emilia-Romagna, 43029, Italia
29;Non si sa ancora perché l'uomo si trovasse alle 7 di mattina nei pressi dell'uscita di via Venezia Non si ancora perchè il giovane 29enne di origine straniera -investitoda un'auto che stava percorrendo in quel momento la tangenziale Nord - si trovasse alle 7 di mattina di venerdì 9 dicembre nei pressi dell'uscita di via Venezia a piedi.;via Venezia, Nord;1;44.8115399;10.3440724;Via Venezia, Quartiere Benedetta, San Leonardo, Parma, Emilia-Romagna, 43121, Italia
30;L'incidente è avvenuto poco dopo le ore 7.15 all'altezza dell'uscita di via Venezia Gravissimo incidente stradale nelle prime ore della mattinata di venerdì 9 dicembre.;via Venezia;1;44.8115399;10.3440724;Via Venezia, Quartiere Benedetta, San Leonardo, Parma, Emilia-Romagna, 43121, Italia
31;L'incidente si è verificato stamattina intorno alle 9 Incidente stamattina intorno alle 9 in tangenziale, all'altezza di Baganzola: due i feriti ricoverati in ospedale.;Baganzola;1;44.8562181;10.3085125;Baganzola, Golese, Parma, Emilia-Romagna, 43100, Italia
32;Code e rallentamenti sul tratto interessato dall’incidente, avvenuto stamattina intorno alle 8 Frontale tra due auto stamattina intorno alle 8 in strada Argini, in un tratto compreso tra Molino di Malandriano e Porporano.;strada Argini, Molino di Malandriano, Porporano;0;44.7302795;10.3531771;Strada Argini, La Palazzina, Cittadella, Botteghino, Parma, Emilia-Romagna, 43022, Italia
33;L'incidente si è verificato alle ore 6.40: rallentamenti in direzione Bologna fino al bivio per l'A15 Parma-La Spezia.;Bologna, l'A15 Parma-La Spezia;1;44.8107517;10.336442;Via Bologna, San Leonardo, Parma, Emilia-Romagna, 43121, Italia
34;L'incidente si è verificato all'altezza del chilometro 91 in direzione Milano.;Milano;1;44.6371441;10.324798;Milano, La Costa, Lesignano de' Bagni, Parma, Emilia-Romagna, 43037, Italia
35;La tragedia nella tarda mattinata di domenica 4 dicembre Tragedia nella mattinata di domenica 4 dicembre lungo l'autostrada A1, in corrispondenza del chilometro 98 Sud all'altezza di Fontanellato.;strada A1, Fontanellato;1;44.540256;10.1652274;La Strada, Corniglio, Parma, Emilia-Romagna, 43028, Italia
36;L'incidente si è verificato prima delle ore 22 del 3 dicembre Grave incidente stradale nella serata di sabato 3 dicembre a Busseto, lungo la strada provinciale 94.;Busseto, la strada provinciale 94;1;44.9809569;10.0424746;Busseto, Parma, Emilia-Romagna, 43011, Italia
37;L'incidente si è verificato poco dopo l'una e mezza all'altezza di Fornovo: sul posto ambulanza e vigili del fuoco Paura nella notte lungo l'autostrada A15, all'altezza del casello di Fornovo.;Fornovo, l'autostrada A15;1;44.6937087;10.1019419;Fornovo, Via Antonio Gramsci, Fornovo di Taro, Parma, Emilia-Romagna, 43045, Italia
38;L'incidente si è verificato all'incrocio tra via del Donatore e Silvio Pellico Grave incidente stradale in pieno centro a Sorbolo, all'incrocio tra via del Donatore e Silvio Pellico.;via del Donatore, Sorbolo;1;44.7497493;10.214382;Via del Donatore, Collecchio, Parma, Emilia-Romagna, 43044, Italia
39;L'incidente si è verificato nel tardo pomeriggio del 1 dicembre: sul posto ambulanza, automedica e vigili del fuoco Grave incidente stradale nel tardo pomeriggio di giovedi 1° dicembre a Cascinapiano, lungo la strada Massese in direzione Langhirano.;Cascinapiano, la strada Massese, Langhirano;1;44.629918;10.2718864;Cascinapiano, Langhirano, Parma, Emilia-Romagna, 43037, Italia
40;Le persone all'interno del mezzo sono riuscite a scendere prima che si sviluppasse il rogo: code di 11 chilometri in direzione Milano, rallentamenti per curiosi in direzione Bologna Momenti di paura nelle prime ore della mattinata di giovedì 1° dicembre lungo l'autostrada A1, all'altezza del chilometro 114 in direzione Bologna, per un incidente stradale che ha coinvolto due veicoli - un'Audi RS6 - e un mezzo pesante.;Milano, Bologna, autostrada A1;1;44.6371441;10.324798;Milano, La Costa, Lesignano de' Bagni, Parma, Emilia-Romagna, 43037, Italia
41;L'incidente è avvenuto alle 4 all'altezza di Fontanellato: uno dei passeggeri è stato trasportato nel reparto di Rianimazione: sul posto i soccorritori con le ambulanze e i vigili del fuoco.;Fontanellato;1;44.8822638;10.1729422;Fontanellato, Parma, Emilia-Romagna, 43012, Italia
42;Schianto in viale Europa stanotte poco dopo l'una.;viale Europa;1;44.8336968;10.3327346;Viale Europa, Moletolo, San Martino, Parma, Emilia-Romagna, 43100, Italia
43;L'incidente è avvenuto verso le ore 5: sul posto i soccorritori del 118 e i vigili del fuoco Grave incidente stradale nella notte tra giovedì 24 e venerdì 25 novembre.;118;1;44.5957603;9.9267797;118, Provinciale del Mozzola, Stazione, Solignano, Valmozzola, Parma, Emilia-Romagna, 43050, Italia
45;Due militari e due infermieri del 118 sono stati trasportati al pronto soccorso con numerose contusioni Tragedia sfiorata nella serata del 22 novembre a Ponteghiara, all'altezza del semaforo all'ingresso della frazione di Salsomaggiore.;118, Ponteghiara, Salsomaggiore;1;44.5957603;9.9267797;118, Provinciale del Mozzola, Stazione, Solignano, Valmozzola, Parma, Emilia-Romagna, 43050, Italia
46;Il conducente è stato trasportato con l'elisoccorso Grave incidente stradale nelle prime ore del pomeriggio di domenica 20 novembre a Fossa di Roccabianca.;Fossa di Roccabianca;1;45.0059937;10.2353729;Fossa, Roccabianca, Parma, Emilia-Romagna, 43010, Italia
47;L'incidente è avvenuto poco dopo le ore 8 all'altezza del chilometro 93 Nord tra Fidenza e il bivio per l'A15: coda di 2 chilometri in aumento Grave incidente stradale poco dopo le ore 8 di domenica 20 novembre lungo l'autostrada A1.;Fidenza, l'A15, l'autostrada A1;1;44.866522;10.0611939;Fidenza, Parma, Emilia-Romagna, 43036, Italia
48;L'incidente si è verificato dopo le ore 17.30: sul posto i soccorritori del 118 e i vigili del fuoco Grave incidente stradale nel tardo pomeriggio di sabato 19 novembre lungo la strada Asolana, a Pizzolese, non lontano dall'uscita verso San Polo Torrile.;118, la strada Asolana, Pizzolese, San Polo Torrile;1;44.5957603;9.9267797;118, Provinciale del Mozzola, Stazione, Solignano, Valmozzola, Parma, Emilia-Romagna, 43050, Italia
49;Il sinistro all'altezza dell'uscita di strada Vallazza, in direzione Parma.;strada Vallazza;0;44.8244255;10.2724481;Strada Vallazza, Fognano, Golese, Fraore, Parma, Emilia-Romagna, 43126, Italia
51;La famiglia ha deciso, come avrebbe voluto il 24enne, per la donazione degli organi Si terranno domani, sabato 19 novembre alle ore 16 nella cattedrale di Foggia, i funerali di Gianpaolo amato, il giovane 14ennemortolunedì 14 novembre nel reparto di Rianimazione all'Ospedale Maggiore di Parma dopo il terribile incidente stradale in A1, avvenuto all'alba del giorno prima, domenica 13 novembre.;Foggia, A1;1;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
53;Sul posto il 118 e gli agenti della polizia locale Scontro tra auto in via Emilio Lepido: tre macchine si sono scontrate per cause in corso di accertamento.;via Emilio Lepido;0;44.7745279;10.4108251;Via Emilio Lepido, Il Moro, San Lazzaro, San Prospero Parmense, Parma, Emilia-Romagna, Italia
54;L'incidente è avvenuto verso le ore 9.30 in località Cabriolo: sul posto l'ambulanza di Fidenza e i vigili del fuoco Grave incidente stradale nella mattinata di oggi, mercoledì 16 novembre, verso le ore 9.30.;Cabriolo, Fidenza;1;44.8448652;10.0609128;Cabriolo, Fidenza, Parma, Emilia-Romagna, 43036, Italia
55;L'incidente è avvenuto alle ore 6 all'incrocio con via Pasubio Uno scontro tra auto e monopattino, avvenuto poco dopo le ore 6 di mercoledì 16 novembre, ha provocato il ferimento della persona che si trovava a bordo del mezzo a due ruote.;via Pasubio;1;44.8127355;10.3322755;Via Pasubio, San Leonardo, Parma, Emilia-Romagna, 43121, Italia
56;L'incidente è avvenuto dopo l'una di stanotte: sul posto i sanitari del 118 e i vigili del fuoco Grave incidente stradale nella notte tra martedì 15 e mercoledì 16 novembre lungo strada Fondovalle nel terriitorio del comune di Valmozzola.;118, strada Fondovalle, Valmozzola;1;44.5957603;9.9267797;118, Provinciale del Mozzola, Stazione, Solignano, Valmozzola, Parma, Emilia-Romagna, 43050, Italia
