latitudine;longitudine;gravita_calcolata;gravita_opendata;media;differenza
44.666054429152695;10.30829538431358;0.0;0.0;0.0;0.0
44.666054429152695;10.314600276601151;0.0;0.0;0.0;0.0
44.67055385474577;10.295691940856468;0.0;0.0;0.0;0.0
44.67055385474577;10.30199732092235;0.0;0.0;0.0;0.0
44.67055385474577;10.308302700988232;0.0;0.0;0.0;0.0
44.67055385474577;10.314608081054114;0.0;0.0;0.0;0.0
44.675053276779224;10.295698283459611;0.0;0.0;0.0;0.0
44.675053276779224;10.302004151418043;0.0;0.0;0.0;0.0
44.675053276779224;10.308310019376474;0.0;0.0;0.0;0.0
44.675053276779224;10.314615887334906;0.0;2.0;1.0;2.0
44.675053276779224;10.320921755293337;0.0;1.0;0.5;1.0
44.679552695253065;10.295704627548258;0.0;0.0;0.0;0.0
44.679552695253065;10.302010983513508;0.0;2.0;1.0;2.0
44.679552695253065;10.308317339478759;3.5;8.5;6.0;5.0
44.679552695253065;10.31462369544401;0.0;0.0;0.0;0.0
44.679552695253065;10.32093005140926;0.0;0.0;0.0;0.0
44.679552695253065;10.32723640737451;0.0;0.0;0.0;0.0
44.68405211016727;10.295710973122869;0.0;0.0;0.0;0.0
44.68405211016727;10.302017817209244;0.0;0.0;0.0;0.0
44.68405211016727;10.308324661295618;0.0;0.0;0.0;0.0
44.68405211016727;10.314631505381993;0.0;0.5;0.25;0.5
44.68405211016727;10.320938349468367;0.0;0.0;0.0;0.0
44.68405211016727;10.327245193554742;0.0;0.0;0.0;0.0
44.68855152152186;10.295717320183838;0.0;0.0;0.0;0.0
44.68855152152186;10.302024652505672;0.0;0.0;0.0;0.0
44.68855152152186;10.308331984827506;0.0;0.0;0.0;0.0
44.68855152152186;10.31463931714934;0.0;0.0;0.0;0.0
44.68855152152186;10.320946649471173;0.0;0.0;0.0;0.0
44.68855152152186;10.327253981793007;0.0;0.0;0.0;0.0
44.68855152152186;10.33356131411484;0.0;0.0;0.0;0.0
44.69305092931682;10.295723668731604;0.0;0.5;0.25;0.5
44.69305092931682;10.302031489403266;0.0;0.0;0.0;0.0
44.69305092931682;10.308339310074928;0.0;0.0;0.0;0.0
44.69305092931682;10.31464713074659;0.0;0.0;0.0;0.0
44.69305092931682;10.320954951418251;0.0;0.0;0.0;0.0
44.69305092931682;10.327262772089913;0.0;0.0;0.0;0.0
44.69305092931682;10.333570592761575;0.0;0.0;0.0;0.0
44.69755033355215;10.295730018766582;0.0;1.0;0.5;1.0
44.69755033355215;10.302038327902473;0.0;0.0;0.0;0.0
44.69755033355215;10.308346637038364;0.0;1.0;0.5;1.0
44.69755033355215;10.314654946174254;0.0;0.0;0.0;0.0
44.69755033355215;10.320963255310145;0.0;0.0;0.0;0.0
44.69755033355215;10.327271564446036;0.0;0.0;0.0;0.0
44.69755033355215;10.333579873581927;0.0;0.0;0.0;0.0
44.70204973422785;10.302045168003765;0.0;0.0;0.0;0.0
44.70204973422785;10.30835396571832;0.0;0.0;0.0;0.0
44.70204973422785;10.314662763432874;0.0;0.0;0.0;0.0
44.70204973422785;10.320971561147429;0.0;0.0;0.0;0.0
44.70204973422785;10.327280358861984;0.0;0.0;0.0;0.0
44.70204973422785;10.333589156576538;0.0;0.0;0.0;0.0
44.70654913134391;10.2894334368922;0.0;0.0;0.0;0.0
44.70654913134391;10.295742723299883;0.0;0.0;0.0;0.0
44.70654913134391;10.302052009707566;0.0;1.0;0.5;1.0
44.70654913134391;10.30836129611525;0.0;0.0;0.0;0.0
44.70654913134391;10.314670582522933;0.0;0.0;0.0;0.0
44.70654913134391;10.320979868930616;0.0;0.0;0.0;0.0
44.70654913134391;10.327289155338299;0.0;0.0;0.0;0.0
44.70654913134391;10.333598441745982;0.0;0.0;0.0;0.0
44.70654913134391;10.371454160192082;0.0;1.0;0.5;1.0
44.71104852490034;10.270509976937795;0.0;0.0;0.0;0.0
44.71104852490034;10.276819752153106;0.0;0.0;0.0;0.0
44.71104852490034;10.283129527368416;0.0;0.0;0.0;0.0
44.71104852490034;10.289439302583727;0.0;0.0;0.0;0.0
44.71104852490034;10.295749077799037;0.0;0.0;0.0;0.0
44.71104852490034;10.302058853014348;0.0;0.0;0.0;0.0
44.71104852490034;10.308368628229658;0.0;0.0;0.0;0.0
44.71104852490034;10.314678403444969;0.0;0.0;0.0;0.0
44.71104852490034;10.32098817866028;0.0;0.0;0.0;0.0
44.71104852490034;10.32729795387559;0.0;0.0;0.0;0.0
44.71104852490034;10.3336077290909;0.0;0.0;0.0;0.0
44.71104852490034;10.358846829952142;0.0;0.0;0.0;0.0
44.71104852490034;10.365156605167453;0.0;0.0;0.0;0.0
44.71104852490034;10.371466380382763;0.0;0.0;0.0;0.0
44.71554791489713;10.251583584824822;0.0;0.0;0.0;0.0
44.71554791489713;10.257893848962292;0.0;0.0;0.0;0.0
44.71554791489713;10.264204113099762;0.0;0.0;0.0;0.0
44.71554791489713;10.270514377237232;0.0;0.5;0.25;0.5
44.71554791489713;10.276824641374702;0.0;0.0;0.0;0.0
44.71554791489713;10.283134905512172;0.0;0.0;0.0;0.0
44.71554791489713;10.289445169649643;0.0;0.0;0.0;0.0
44.71554791489713;10.295755433787113;0.0;0.0;0.0;0.0
44.71554791489713;10.302065697924583;0.0;2.0;1.0;2.0
44.71554791489713;10.308375962062053;0.0;0.0;0.0;0.0
44.71554791489713;10.314686226199523;0.0;0.0;0.0;0.0
44.71554791489713;10.320996490336993;0.0;0.0;0.0;0.0
44.71554791489713;10.327306754474463;0.0;3.0;1.5;3.0
