latitudine;longitudine;grave
44.7844576;10.3812485;0.5
44.8055076;10.3083354;1
44.7977154;10.3157072;1
44.8020684;10.3391898;1
44.8077849;10.3140072;1
44.6754312;10.3205019;1
44.8079645;10.2959671;1
44.7982254;10.3372476;0.5
NULL;NULL;1
44.7879123;10.3012543;1
44.7921548;10.3376049;0.5
44.8113864;10.3259292;0.5
44.6985216;10.2954550;1
44.7988128;10.3351655;1
44.8068184;10.3016171;1
44.7998584;10.3384413;0.5
44.7915404;10.3167947;1
44.7883039;10.3704406;0.5
44.7612833;10.3372389;1
44.7960233;10.3475345;1
44.7965324;10.3043811;1
44.7811829;10.3913625;1
44.8150234;10.3267012;0.5
44.7951674;10.3499333;1
44.7970084;10.3361943;1
44.8088574;10.3201382;1
44.8042574;10.3375623;1
44.8267014;10.3373343;1
44.7911504;10.3617494;1
44.7770364;10.3136791;1
44.8671734;10.3465913;1
44.8136186;10.3330553;0.5
44.8039144;10.3136850;1
44.7671520;10.3225162;1
44.8330617;10.3678722;1
44.8099065;10.2865080;1
44.7821080;10.3446270;0.5
44.8113864;10.3259292;0.5
NULL;NULL;1
44.7948904;10.3257232;1
44.7995804;10.3043311;1
44.8040136;10.3473488;1
44.7966080;10.3456194;1
44.8022464;10.3044111;1
44.7923460;10.3206259;0.5
44.7947584;10.3245442;1
44.8029756;10.3497675;0.5
44.7726783;10.4160456;0.5
44.8130084;10.3308852;1
44.8379084;10.3078742;1
44.8040014;10.3256402;1
44.7891280;10.2970061;1
44.7753604;10.3303192;0.5
44.7890934;10.3412333;0.5
44.8122514;10.3148292;1
44.7777199;10.4015475;0.5
44.7646804;10.3525943;1
44.7959004;10.3361153;1
44.8154104;10.3379423;1
NULL;NULL;1
44.8249080;10.3283131;1
44.8074454;10.3307272;1
44.8043009;10.3139147;1
44.8077364;10.3294342;0.5
44.7780795;10.2793580;0.5
44.8043834;10.3146012;1
44.8038164;10.3196382;1
44.8240149;10.2806845;0.5
44.7979824;10.3159382;1
44.8127475;10.2919701;1
44.8075665;10.2972561;1
44.8118376;10.2928617;1
44.8089524;10.3059941;1
44.8060704;10.3051841;1
44.7890934;10.3412333;1
44.8024070;10.3302517;1
44.8042899;10.3247679;1
44.8267014;10.3373343;0.5
44.7866084;10.3304292;1
44.7975414;10.3431518;1
44.8022246;10.3046909;1
44.8040684;10.3137102;1
44.8156893;10.3310886;1
44.8123134;10.3338053;0.5
44.8051857;10.3378933;0.5
44.7947584;10.3245442;1
NULL;NULL;1
44.8189401;10.3735506;1
44.7842752;10.2928926;1
44.8172664;10.2502655;1
44.7480304;10.3628964;1
44.8043489;10.3074315;1
44.8089623;10.3473950;1
44.7660934;10.3227492;1
44.7936074;10.3545163;1
44.7936074;10.3545163;1
44.8192804;10.3287262;1
44.7853184;10.3795944;0.5
44.7660934;10.3227492;1
44.7853184;10.3795944;0.5
44.7885604;10.3579743;1
44.8000339;10.3154657;1
44.8078867;10.2963332;1
44.7781705;10.4001715;0.5
44.8130434;10.3199702;0.5
44.8295052;10.2519575;1
44.8146284;10.3155642;1
44.8003631;10.3286571;0.5
44.7182544;10.3564243;1
44.7660934;10.3227492;1
44.8005454;10.3323922;1
44.8076504;10.3106191;1
44.7961354;10.3354763;1
44.7845995;10.2934041;1
44.8071116;10.3321923;1
44.7998584;10.3384413;1
44.7982804;10.3457643;0.5
44.7965934;10.3141042;1
44.8046179;10.3381358;1
44.8021594;10.3241222;1
44.8031526;10.3044421;1
44.6773804;10.3088641;1
44.7726783;10.4160456;0.5
44.8081754;10.3260552;1
44.7933984;10.3551343;1
44.7600754;10.3552173;1
44.7540199;10.2882805;1
44.8671734;10.3465913;1
44.8280564;10.3108552;0.5
44.8073334;10.3081061;1
NULL;NULL;0.5
44.8166549;10.3276969;1
44.7808124;10.3227972;1
44.8245094;10.3850045;1
44.7514034;10.3171632;1
44.7780795;10.2793580;1
44.7660934;10.3227492;1
NULL;NULL;1
44.8066054;10.3026491;1
44.7856464;10.3130531;1
44.8009404;10.3300752;1
44.8091205;10.3252420;1
44.7726783;10.4160456;1
44.8122514;10.3466953;1
44.7961354;10.3354763;1
44.7836959;10.3836706;1
44.8081364;10.3144012;0.5
NULL;NULL;0.5
44.7933760;10.3123406;1
44.8027074;10.2831843;1
44.8051434;10.3545913;1
44.8060884;10.3123982;1
44.7619700;10.3213883;1
44.7818988;10.2999843;1
44.7992634;10.3145581;1
44.8011904;10.3261952;0.5
44.8049784;10.3382023;0.5
44.7938934;10.3165712;1
44.8083986;10.3165701;1
44.8039944;10.3141462;1
44.8050159;10.3283462;1
44.7948904;10.3257232;1
44.8411113;10.2637638;0.5
44.8274104;10.3434593;1
44.7800514;10.3216172;0.5
44.7713115;10.2927601;1
44.7994544;10.3387553;1
44.8242934;10.3363333;1
44.8018844;10.3134302;0.5
44.7731012;10.3080303;1
44.7879834;10.3577273;1
44.8236125;10.3277231;1
44.7852814;10.3213182;0.5
44.7947788;10.3080672;0.5
44.7960126;10.3047472;1
44.8065849;10.4271363;0.5
44.8101264;10.3453423;1
44.7865554;10.3545023;1
44.8025584;10.3218142;1
44.8493847;10.3413613;1
44.7293265;10.2543579;1
44.7936074;10.3545163;1
44.7826934;10.3449418;0.5
44.7961199;10.3472274;1
44.8130084;10.3308852;1
44.7936074;10.3545163;1
44.8064464;10.3101571;0.5
44.8560243;10.3083796;1
44.8087664;10.3051721;1
44.7957658;10.3479462;1
44.7182544;10.3564243;1
44.7959004;10.3361153;1
44.7961330;10.3360024;0.5
44.8095443;10.3290695;0.5
44.7774774;10.3225882;1
44.7880034;10.3213932;1
44.7768254;10.3046341;0.5
44.8144894;10.3802830;0.5
44.8453574;10.3545884;1
44.8076504;10.3106191;1
44.7646804;10.3525943;1
44.7990124;10.3379513;0.5
44.7860914;10.3216502;0.5
44.7867107;10.3748126;1
44.7660934;10.3227492;1
44.8045774;10.3138952;1
44.8011784;10.3014801;0.5
44.8040684;10.3137102;1
44.8146284;10.3155642;1
44.8107614;10.3471313;1
44.7201114;10.3043349;1
44.7936074;10.3545163;0.5
44.7885534;10.3259512;1
44.8137152;10.3016486;1
44.7949629;10.3259697;1
44.8021894;10.3019251;1
44.8025894;10.3078284;1
44.7897874;10.3608954;1
44.8088574;10.3201382;0.5
44.7936074;10.3545163;1
44.8120094;10.3161022;1
44.8173785;10.2498429;1
44.8054159;10.3085076;1
44.7855224;10.3344642;1
44.7993664;10.3056041;1
44.7620834;10.3301182;0.5
44.7660934;10.3227492;1
44.8026764;10.3136962;1
44.7907608;10.3629519;1
44.8082274;10.3311831;0.5
44.7961354;10.3354763;0.5
NULL;NULL;1
44.8044734;10.3131662;1
44.7952244;10.3288292;1
44.7384309;10.4235041;0.5
44.7780795;10.2793580;1
44.8295715;10.2751950;1
44.7918444;10.3150261;1
44.7875744;10.3724844;1
44.8128034;10.3270022;0.5
44.7904819;10.3060890;1
44.7872174;10.3371663;1
44.7480115;10.3617817;1
44.8031580;10.3244367;1
44.8079645;10.2959671;0.5
44.7726783;10.4160456;1
44.7934644;10.3119471;1
44.7960704;10.3271442;1
44.7960524;10.3360903;0.5
44.8068165;10.3147083;0.5
44.7660934;10.3227492;0.5
44.7965934;10.3141042;0.5
44.7845804;10.3237972;1
44.8198064;10.3300232;0.5
44.8220300;10.3154861;1
44.7445678;10.3589057;0.5
44.8274104;10.3434593;1
44.7826065;10.2889030;1
44.7888814;10.3356503;1
44.8506585;10.2827801;1
44.7755527;10.4075556;1
44.8136164;10.3281637;0.5
44.8165100;10.2813805;1
44.7996068;10.3366595;1
44.8068809;10.3351360;1
44.7874188;10.2995592;1
44.8083964;10.3297582;1
44.8088574;10.3201382;1
44.8099065;10.2865080;1
44.7940354;10.3178632;1
44.7995804;10.3043311;0.5
44.8046042;10.3141451;1
44.7990814;10.3184012;1
44.8149651;10.3152991;1
44.7665083;10.3200915;0.5
44.7856464;10.3130531;1
44.8418155;10.2735130;1
44.7646804;10.3525943;1
44.8119424;10.3411563;1
44.8042574;10.3375623;0.5
44.8021244;10.3270332;0.5
44.8143857;10.3310624;1
44.8066054;10.3026491;0.5
44.8075994;10.3340256;1
44.7185182;10.3035905;0.5
44.7988884;10.3383613;1
44.7369806;10.3111671;1
44.7912284;10.3262392;1
44.7537935;10.2988721;1
44.7774774;10.3225882;1
44.8084044;10.3297005;1
44.8065805;10.3037703;1
44.8042544;10.3247612;1
44.8000339;10.3154657;1
44.7938934;10.3165712;1
44.7827214;10.3624644;0.5
44.7958859;10.3349101;1
44.8018594;10.3256732;1
44.7889684;10.3375293;0.5
44.7726425;10.3237514;1
44.7699853;10.4245546;0.5
NULL;NULL;1
44.8064944;10.3396603;1
44.7438487;10.3646638;1
44.8240444;10.3220992;1
44.8204851;10.3338278;1
44.7966954;10.3535713;1
44.8118754;10.3356043;0.5
44.7830843;10.3852397;1
44.8103034;10.3164980;0.5
44.8368144;10.3389850;0.5
44.7891334;10.3554423;1
44.7938914;10.3277652;1
44.8077615;10.2971341;0.5
44.8014404;10.3396283;1
44.7936634;10.3259522;1
44.8461984;10.3647674;1
44.7947584;10.3245442;0.5
44.8426294;10.2885782;1
44.7978687;10.3384807;1
44.8207211;10.3127664;1
44.7758424;10.2746790;1
44.8152914;10.3297832;0.5
44.8560374;10.3083712;1
44.7947788;10.3245104;1
44.8554994;10.3870905;1
44.7923970;10.3103739;1
44.8036494;10.3246442;1
44.8067360;10.3051658;0.5
44.7080910;10.2997887;1
44.7930399;10.3948820;1
44.7660934;10.3227492;1
44.8484659;10.2920544;1
44.7412454;10.3314842;0.5
44.8009586;10.3498506;1
44.7897974;10.3351822;1
44.7999459;10.3250607;1
44.8073944;10.3085448;1
44.8027464;10.3133032;1
44.8479254;10.3414233;0.5
44.7968934;10.3169442;0.5
44.8113864;10.3259292;1
44.7197944;10.3737664;1
44.7907954;10.3185152;0.5
44.7984954;10.3243482;1
44.7829610;10.3307721;1
44.8069084;10.3146762;1
44.8061534;10.3048241;1
44.8038574;10.3308512;0.5
44.8114494;10.3442753;1
44.7646804;10.3525943;1
44.7880034;10.3213932;1
44.7871039;10.3224617;0.5
44.7776004;10.4017225;0.5
44.7646804;10.3525943;1
44.7941964;10.3095981;1
44.7843509;10.3441959;1
44.7960131;10.3475466;0.5
44.8065859;10.3026933;1
NULL;NULL;1
44.8427766;10.2884607;1
44.7667764;10.3432573;0.5
44.7992344;10.3514993;1
44.8065684;10.3260112;1
44.8044889;10.3131788;1
44.7970962;10.3443494;0.5
44.8267014;10.3373343;1
44.8055174;10.3079691;1
44.8082186;10.3145675;1
44.8025584;10.3218142;1
44.8002684;10.3331027;1
44.7660934;10.3227492;0.5
44.7902404;10.3183992;1
44.7994994;10.3407493;1
44.7955139;10.3488993;1
44.7660934;10.3227492;1
44.7726783;10.4160456;1
44.7454944;10.3569798;1
44.8108758;10.2814568;1
44.7780795;10.2793580;0.5
44.7843064;10.3192012;1
44.7998857;10.3355973;1
44.7660934;10.3227492;1
44.8091984;10.3117832;1
44.7989025;10.2432338;1
44.7850799;10.3802146;0.5
44.7954746;10.3308794;1
44.7956174;10.3179572;0.5
44.7980534;10.3376603;0.5
44.7831058;10.3421285;1
44.7988694;10.3311212;1
44.7960734;10.3172692;0.5
44.7889754;10.3389253;1
44.7938934;10.3165712;1
44.7885284;10.3255132;1
44.8367244;10.3521013;0.5
44.8044734;10.3131662;1
44.8089144;10.3261962;0.5
44.7310064;10.3751124;1
44.8099065;10.2865080;1
44.8114494;10.3442753;1
44.8061534;10.3048241;1
44.8647415;10.2532012;1
44.8075665;10.2972561;0.5
44.8093099;10.3051206;0.5
44.8628744;10.3122752;1
44.7853184;10.3795944;0.5
44.8044734;10.3131662;1
44.7726783;10.4160456;1
44.7780795;10.2793580;1
44.8018062;10.3391486;1
44.7882119;10.3660279;1
44.7965324;10.3043811;1
44.7339105;10.2627199;0.5
44.7969299;10.3448805;1
44.7904685;10.3430090;1
44.8126960;10.2939576;1
44.7603114;10.3550763;0.5
44.7961204;10.3375003;0.5
44.8017224;10.3190502;1
44.8122514;10.3466953;1
44.8128032;10.3360265;1
44.7726783;10.4160456;1
44.8236179;10.3827452;1
44.8015014;10.3275082;1
44.7808384;10.3921685;1
44.7952244;10.3288292;1
44.7844630;10.3258408;1
44.7971445;10.3450696;1
44.7182544;10.3564243;1
44.8113864;10.3259292;1
44.8155954;10.3326632;1
44.8098874;10.3059511;0.5
44.8024277;10.3507788;1
44.7997444;10.3158692;0.5
44.7869896;10.3532919;1
44.7987474;10.3148062;1
44.8046824;10.3387093;1
44.8355495;10.2582409;1
44.7944134;10.3436193;1
44.7936074;10.3545163;1
44.8012376;10.3287854;1
44.7936074;10.3545163;1
44.7968898;10.3447668;1
44.7660934;10.3227492;1
44.8083964;10.3297582;1
44.7993664;10.3056041;1
44.8088574;10.3201382;1
44.8140894;10.3310652;1
44.7319954;10.3713474;0.5
44.7646804;10.3525943;1
44.7646804;10.3525943;1
44.8026764;10.3136962;0.5
44.7990509;10.3387728;1
44.8169384;10.3313362;1
44.7660934;10.3227492;1
44.8267014;10.3373343;1
44.7857484;10.3589714;1
44.7933902;10.3130515;1
44.8084544;10.3366003;1
44.7200632;10.3738108;1
44.8280564;10.3108552;0.5
44.8479938;10.3081154;1
44.8134325;10.2712510;0.5
44.8077364;10.3294342;1
44.8097764;10.3376273;1
44.7956384;10.3171122;1
44.7744124;10.3501483;0.5
44.7791165;10.3972572;1
44.8028764;10.3396413;1
44.8172128;10.3435340;0.5
44.7954694;10.3058791;1
44.7940354;10.3178632;1
44.7925944;10.3575133;1
44.7866084;10.3304292;1
44.7879767;10.4044523;0.5
44.7891722;10.3032655;1
44.8049344;10.3450273;1
44.8083964;10.3297582;1
44.7995804;10.3043311;1
44.8080674;10.3268592;1
44.8074603;10.2986097;1
44.7965324;10.3043811;0.5
44.8079684;10.3131862;1
44.7819137;10.3431534;1
44.7845481;10.3813516;1
44.8060704;10.3051841;1
44.7982214;10.3372453;1
44.7868764;10.3532113;1
44.8245094;10.3850045;1
44.7321334;10.3705124;1
44.6792346;10.3008976;1
44.8237305;10.3368271;0.5
44.7944134;10.3436193;1
44.7960597;10.3367540;1
44.7726783;10.4160456;1
44.8089144;10.3261962;0.5
44.7644913;10.3175380;0.5
44.7872174;10.3371663;0.5
44.8051536;10.3620010;1
44.7998584;10.3384413;1
44.7758284;10.3307632;1
44.8107540;10.4061394;1
44.8121273;10.3228849;0.5
44.7855864;10.3588244;1
44.7944134;10.3436193;1
44.8280564;10.3108552;1
44.8026764;10.3136962;1
44.7982214;10.3372453;1
44.7622317;10.3217015;1
44.7865554;10.3545023;1
44.7819984;10.3083381;0.5
44.8044114;10.3539663;1
44.7911504;10.3617494;0.5
44.8088574;10.3201382;1
44.8236179;10.3278484;0.5
44.8099065;10.2865080;0.5
44.7944134;10.3436193;0.5
44.7698557;10.3240652;1
44.8057917;10.3064845;0.5
44.8347359;10.3434888;1
44.7949558;10.3258864;1
44.7998584;10.3384413;1
44.8042544;10.3247612;1
NULL;NULL;0.5
44.7846668;10.3238721;1
44.7466921;10.3682586;1
44.8082294;10.3310362;1
44.8154104;10.3379423;1
44.7827504;10.3179902;1
44.7965324;10.3043811;0.5
44.8099065;10.2865080;1
44.8099065;10.2865080;1
44.8092842;10.3241094;1
44.7883004;10.3704704;0.5
44.8014224;10.3222032;1
44.7541462;10.3495945;1
44.7842614;10.3469943;1
44.7886404;10.3282012;1
44.7660934;10.3227492;1
44.7885560;10.3019410;0.5
44.7965973;10.3095477;1
44.8681794;10.3831265;1
44.8120307;10.3406681;1
44.8026764;10.3136962;1
44.7906184;10.3063801;1
44.7865554;10.3545023;1
44.8239612;10.3279906;0.5
44.8091125;10.3299272;1
44.8521137;10.3421366;1
44.8074454;10.3307272;1
44.7783954;10.3191632;1
44.8150765;10.3472108;1
44.7866724;10.3323532;1
44.7955139;10.3488993;1
44.7646804;10.3525943;1
44.7934155;10.2882030;1
44.7938934;10.3165712;1
44.7944033;10.3214460;1
44.7936074;10.3545163;1
44.7262705;10.3068583;1
44.7894824;10.3035601;1
44.8106454;10.3600884;1
44.8173952;10.2505552;1
44.7768904;10.3577223;0.5
44.8056310;10.3074797;1
44.7855864;10.3588244;1
44.7995804;10.3043311;1
44.7853374;10.3784376;1
44.8019354;10.3130512;1
44.7956984;10.3045081;1
44.7758907;10.4009266;1
44.7850194;10.3114721;0.5
44.7620834;10.3301182;1
44.7981534;10.3411093;1
44.8041397;10.3335656;1
44.7957734;10.3357883;1
44.8099514;10.3302322;1
44.8047984;10.3550573;0.5
44.8024767;10.3507639;0.5
44.8147794;10.3133512;1
44.8070444;10.3401823;1
44.7956984;10.3045081;1
44.7939258;10.3168340;0.5
44.8145055;10.2638704;1
44.8028764;10.3396413;1
44.8001444;10.3010231;0.5
44.7699853;10.4245546;1
44.8039204;10.3519693;0.5
44.8000339;10.3154657;1
44.7814284;10.3460553;0.5
44.8009404;10.3300752;1
44.7967877;10.3438894;1
44.7918069;10.3150369;1
44.8611259;10.3802990;1
44.8144674;10.3151202;0.5
44.8004007;10.3393095;1
44.8246764;10.3351773;1
44.8137366;10.2676603;1
44.8092412;10.3295657;0.5
44.8007214;10.3312382;1
44.7664546;10.3227818;0.5
44.8059797;10.3145098;1
44.7646804;10.3525943;1
44.7780795;10.2793580;1
44.8440885;10.2635318;1
44.7993664;10.3056041;1
44.7790214;10.3975665;0.5
44.7142924;10.3296372;1
44.7986474;10.3396283;0.5
44.7985524;10.3202502;1
44.8114494;10.3442753;1
44.8075354;10.3306084;0.5
44.7660934;10.3227492;1
44.8022460;10.3241980;1
44.8063914;10.3103471;1
44.8024734;10.3224202;1
44.7824344;10.3216432;1
NULL;NULL;1
44.7934644;10.3451343;0.5
44.7860149;10.3322942;1
44.7182544;10.3564243;1
44.7965014;10.3143912;0.5
44.8099065;10.2865080;1
44.8181690;10.3724752;1
44.7863474;10.3228162;0.5
44.7646804;10.3525943;1
44.7965414;10.3053791;0.5
44.8295715;10.2751950;1
44.8004865;10.3132680;1
44.7921544;10.3376003;1
44.7301483;10.2891683;1
44.7947584;10.3245442;1
44.8107534;10.3304412;1
44.8060704;10.3051841;1
44.8021244;10.3270332;1
44.8004384;10.3137122;1
44.8036494;10.3246442;0.5
44.7563325;10.2863850;1
44.8304314;10.3679074;1
